pitcher,game_date,BF,SO,BBA,HA,Outs,opp_team,season_year,opp_k_pct,Target_SO_Over_4_5,Target_Outs_Over_15_5,Target_HA_Over_4_5,Target_BBA_Over_1_5,rolling_5_BF,rolling_5_BBA,rolling_5_HA,rolling_5_Outs,rolling_3_SO,rolling_5_SO,rolling_10_SO,K_pct,rolling_3_K_pct,rolling_5_K_pct,rolling_10_K_pct
425794,2023-05-12,20,2,2,7,11,BOS,2023,0.2298,0,0,1,1,23.0,0.0,8.0,15.0,5.0,5.0,5.0,0.1,0.21739130434782608,0.21739130434782608,0.21739130434782608
425794,2023-05-18,25,1,3,5,17,LAD,2023,0.2208,0,1,1,1,21.5,1.0,7.5,13.0,3.5,3.5,3.5,0.04,0.15869565217391304,0.15869565217391304,0.15869565217391304
425794,2023-05-23,26,2,1,8,17,CIN,2023,0.2485,0,1,1,0,22.666666666666668,1.6666666666666667,6.666666666666667,14.333333333333334,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.07692307692307693,0.1191304347826087,0.1191304347826087,0.1191304347826087
425794,2023-05-29,26,6,2,9,15,KC,2023,0.2392,1,0,1,1,23.5,1.5,7.0,15.0,1.6666666666666667,2.5,2.5,0.23076923076923078,0.07230769230769231,0.10857859531772576,0.10857859531772576
425794,2023-06-05,26,3,2,8,16,TEX,2023,0.2308,0,1,1,1,24.0,1.6,7.4,15.0,3.0,3.2,3.2,0.11538461538461539,0.11589743589743591,0.13301672240802676,0.13301672240802676
425794,2023-06-11,24,2,1,8,15,CIN,2023,0.2485,0,0,1,0,24.6,2.0,7.4,15.2,3.6666666666666665,2.8,3.1666666666666665,0.08333333333333333,0.14102564102564105,0.11261538461538463,0.13007803790412487
425794,2023-06-17,24,3,2,7,15,NYM,2023,0.2263,0,0,1,1,25.4,1.8,7.6,16.0,3.6666666666666665,2.8,3.0,0.125,0.14316239316239315,0.10928205128205129,0.12340022296544037
425794,2023-06-24,18,0,1,11,6,CHC,2023,0.2307,0,0,1,0,25.2,1.6,8.0,15.6,2.6666666666666665,3.2,3.0,0.0,0.1079059829059829,0.12628205128205128,0.12360019509476032
425794,2023-06-29,14,1,3,6,5,HOU,2023,0.2043,0,0,1,1,23.6,1.6,8.6,13.4,1.6666666666666667,2.8,2.6666666666666665,0.07142857142857142,0.06944444444444443,0.1108974358974359,0.10986684008423139
425794,2023-07-04,20,3,2,7,10,MIA,2023,0.222,0,0,1,1,21.2,1.8,8.0,11.4,1.3333333333333333,1.8,2.5,0.15,0.06547619047619047,0.07902930402930401,0.10602301321866539
425794,2023-07-24,21,3,2,4,15,AZ,2023,0.214,0,0,0,1,20.0,1.8,7.8,10.2,1.3333333333333333,1.8,2.3,0.14285714285714285,0.07380952380952381,0.08595238095238095,0.09928388278388278
425794,2023-07-29,22,3,3,7,12,CHC,2023,0.2307,0,0,1,1,19.4,2.0,7.0,10.2,2.3333333333333335,2.0,2.4,0.13636363636363635,0.12142857142857143,0.09785714285714285,0.10356959706959708
425794,2023-08-04,20,5,2,9,9,COL,2023,0.2631,1,0,1,1,19.0,2.2,7.0,9.6,3.0,2.0,2.6,0.25,0.14307359307359305,0.10012987012987011,0.1132059607059607
425794,2023-08-17,25,2,3,4,18,NYM,2023,0.2263,0,1,0,1,19.4,2.4,6.6,10.2,3.6666666666666665,3.0,2.9,0.08,0.17640692640692643,0.1501298701298701,0.13051365301365303
425794,2023-08-22,22,3,1,7,14,PIT,2023,0.2464,0,0,1,0,21.6,2.4,6.2,12.8,3.3333333333333335,3.2,2.5,0.13636363636363635,0.15545454545454546,0.15184415584415584,0.11543672993672993
425794,2023-08-28,28,1,3,8,17,SD,2023,0.2197,0,1,1,1,22.0,2.2,6.2,13.6,3.3333333333333335,3.2,2.5,0.03571428571428571,0.15545454545454546,0.14911688311688312,0.11753463203463203
425794,2023-09-07,28,4,3,8,17,ATL,2023,0.2142,0,1,1,1,23.4,2.4,7.0,14.0,2.0,2.8,2.4,0.14285714285714285,0.08402597402597402,0.12768831168831168,0.11277272727272727
425794,2023-09-12,23,3,3,7,13,BAL,2023,0.2306,0,0,1,1,24.6,2.4,7.2,15.0,2.6666666666666665,3.0,2.5,0.13043478260869565,0.10497835497835496,0.12898701298701298,0.11455844155844157
425794,2023-09-18,23,3,2,4,17,MIL,2023,0.2401,0,1,0,1,25.2,2.6,6.8,15.8,2.6666666666666665,2.6,2.8,0.13043478260869565,0.10300207039337472,0.10507396950875211,0.12760191981931113
425844,2023-04-10,21,3,1,6,14,TEX,2023,0.2308,0,0,1,0,24.0,1.0,7.0,16.0,4.0,4.0,4.0,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.16666666666666666
425844,2023-04-16,22,6,1,4,17,ATL,2023,0.2142,1,1,0,0,22.5,1.0,6.5,15.0,3.5,3.5,3.5,0.2727272727272727,0.15476190476190477,0.15476190476190477,0.15476190476190477
