batter,game_date,PA,AB,H,HR,SO,TB,Target_HR,Target_Hit,Target_TB_Over_1_5,Target_SO,rolling_10_PA,rolling_10_AB,rolling_10_H,rolling_10_HR,rolling_10_SO,rolling_10_TB
408234,2023-04-02,3,3,0,0,2,0,0,0,0,1,2.0,1.0,1.0,0.0,0.0,1.0
408234,2023-04-04,4,4,0,0,1,0,0,0,0,1,2.5,2.0,0.5,0.0,1.0,0.5
408234,2023-04-06,4,3,1,0,0,1,0,1,0,0,3.0,2.6666666666666665,0.3333333333333333,0.0,1.0,0.3333333333333333
408234,2023-04-09,4,4,1,0,1,2,0,1,1,1,3.25,2.75,0.5,0.0,0.75,0.5
408234,2023-04-12,3,3,1,0,1,2,0,1,1,1,3.4,3.0,0.6,0.0,0.8,0.8
408234,2023-04-14,5,5,1,0,3,1,0,1,0,1,3.3333333333333335,3.0,0.6666666666666666,0.0,0.8333333333333334,1.0
408234,2023-04-15,1,1,1,0,0,1,0,1,0,0,3.5714285714285716,3.2857142857142856,0.7142857142857143,0.0,1.1428571428571428,1.0
408234,2023-04-18,4,4,0,0,1,0,0,0,0,1,3.25,3.0,0.75,0.0,1.0,1.0
408234,2023-04-21,3,3,0,0,0,0,0,0,0,0,3.3333333333333335,3.111111111111111,0.6666666666666666,0.0,1.0,0.8888888888888888
408234,2023-04-24,3,2,0,0,0,0,0,0,0,0,3.3,3.1,0.6,0.0,0.9,0.8
408234,2023-04-25,4,4,2,0,1,2,0,1,1,1,3.4,3.2,0.5,0.0,0.9,0.7
408234,2023-04-27,4,4,0,0,1,0,0,0,0,1,3.5,3.3,0.7,0.0,0.8,0.9
408234,2023-04-29,4,4,1,0,0,1,0,1,0,0,3.5,3.3,0.7,0.0,0.8,0.9
408234,2023-05-05,4,4,0,0,1,0,0,0,0,1,3.5,3.4,0.7,0.0,0.8,0.9
408234,2023-05-07,4,4,2,0,1,2,0,1,1,1,3.5,3.4,0.6,0.0,0.8,0.7
408234,2023-05-08,4,4,1,0,2,1,0,1,0,1,3.6,3.5,0.7,0.0,0.8,0.7
408234,2023-05-10,4,4,0,0,0,0,0,0,0,0,3.5,3.4,0.7,0.0,0.7,0.7
408234,2023-05-12,4,2,0,0,1,0,0,0,0,1,3.8,3.7,0.6,0.0,0.7,0.6
408234,2023-05-16,4,3,1,0,2,1,0,1,0,1,3.8,3.5,0.6,0.0,0.7,0.6
408234,2023-05-17,3,3,0,0,0,0,0,0,0,0,3.9,3.5,0.7,0.0,0.9,0.7
408234,2023-05-20,2,1,0,0,0,0,0,0,0,0,3.9,3.6,0.7,0.0,0.9,0.7
408234,2023-05-23,4,4,1,0,1,1,0,1,0,1,3.7,3.3,0.5,0.0,0.8,0.5
408234,2023-05-25,3,1,0,0,1,0,0,0,0,1,3.7,3.3,0.6,0.0,0.8,0.6
408234,2023-05-26,4,3,0,0,1,0,0,0,0,1,3.6,3.0,0.5,0.0,0.9,0.5
408234,2023-05-27,1,1,0,0,0,0,0,0,0,0,3.6,2.9,0.5,0.0,0.9,0.5
408234,2023-05-30,4,3,3,0,0,4,0,1,1,0,3.3,2.6,0.3,0.0,0.8,0.3
408234,2023-06-02,3,2,1,0,0,1,0,1,0,0,3.3,2.5,0.5,0.0,0.6,0.6
